trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_3,False,nan,3,20230811:164712.504574,20230811:164719.581718
1,strip,True,0.5,1,20230811:164719.583165,20230811:164722.340436
2,catch_trial_white_3,False,nan,2,20230811:164722.341543,20230811:164726.342575
3,bullseye_high_freq,False,0.51,4,20230811:164726.343675,20230811:164731.989556
4,catch_trial_white_5,False,nan,4,20230811:164731.990673,20230811:164734.082101
5,bullseye_low_separate,True,0.5,3,20230811:164734.083193,20230811:164736.254630
6,catch_trial_black_4,False,nan,5,20230811:164736.255758,20230811:164738.489621
7,whites,False,0.51,2,20230811:164738.490754,20230811:164741.188122
8,catch_trial_black_1,False,nan,1,20230811:164741.189407,20230811:164743.004921
9,sbc,False,0.5,3,20230811:164743.006055,20230811:164745.824051
10,catch_trial_black_2,False,nan,2,20230811:164745.825469,20230811:164759.214575
11,whites_separate,False,0.49,1,20230811:164759.262172,20230811:164801.966946
12,catch_trial_black_5,False,nan,5,20230811:164801.968105,20230811:164803.797790
13,bullseye_high_freq,True,0.51,3,20230811:164803.798938,20230811:164810.903725
14,catch_trial_white_1,False,nan,1,20230811:164810.904922,20230811:164814.895254
15,whites,True,0.51,5,20230811:164814.896729,20230811:164818.909177
16,catch_trial_white_4,False,nan,5,20230811:164818.910299,20230811:164822.439062
17,checkerboard_separate,False,0.49,3,20230811:164822.440205,20230811:164829.320327
18,catch_trial_white_2,False,nan,1,20230811:164829.321455,20230811:164831.025009
19,checkerboard,True,0.51,2,20230811:164831.026110,20230811:164833.559620
20,strip,False,0.5,5,20230811:164833.560776,20230811:164835.367548
21,whites_separate,True,0.49,5,20230811:164835.368764,20230811:164836.993234
22,bullseye_low_separate,False,0.5,3,20230811:164836.994349,20230811:164840.775439
23,sbc_separate,True,0.49,3,20230811:164840.843500,20230811:164846.001336
24,sbc,True,0.5,3,20230811:164846.068363,20230811:164854.194197
25,checkerboard_separate,True,0.49,3,20230811:164854.195824,20230811:164857.631195
26,sbc_separate,False,0.49,3,20230811:164857.632361,20230811:164905.019821
27,checkerboard,False,0.51,5,20230811:164905.020951,20230811:164907.451306
