trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_3,False,nan,3,20230904:151642.257379,20230904:151644.836728
1,bullseye_high_freq,False,0.49,3,20230904:151644.838321,20230904:151645.987967
2,catch_trial_white_4,False,nan,4,20230904:151645.989101,20230904:151648.056091
3,whites_separate,False,0.5,2,20230904:151648.057216,20230904:151649.766587
4,catch_trial_black_1,False,nan,1,20230904:151649.767680,20230904:151651.818770
5,bullseye_low_separate,True,0.51,3,20230904:151651.819894,20230904:151654.299746
6,catch_trial_black_4,False,nan,4,20230904:151654.300872,20230904:151657.264931
7,checkerboard,False,0.49,3,20230904:151657.266022,20230904:151700.217571
8,catch_trial_black_3,False,nan,3,20230904:151700.218685,20230904:151703.476482
9,whites_separate,True,0.5,4,20230904:151703.477590,20230904:151706.608362
10,catch_trial_black_5,False,nan,5,20230904:151706.609473,20230904:151708.523038
11,sbc,True,0.51,3,20230904:151708.576333,20230904:151710.071310
12,catch_trial_white_1,False,nan,1,20230904:151710.072414,20230904:151713.238953
13,whites,True,0.49,4,20230904:151713.240042,20230904:151715.743707
14,catch_trial_white_5,False,nan,5,20230904:151715.744851,20230904:151718.334233
15,bullseye_high_freq,True,0.49,2,20230904:151718.335357,20230904:151720.669671
16,catch_trial_white_2,False,nan,2,20230904:151720.670841,20230904:151723.754090
17,strip,True,0.51,2,20230904:151723.755586,20230904:151726.135184
18,catch_trial_black_2,False,nan,3,20230904:151726.136290,20230904:151728.195628
19,checkerboard,True,0.49,2,20230904:151728.196746,20230904:151729.990378
20,strip,False,0.51,3,20230904:151729.991486,20230904:151731.458032
21,checkerboard_separate,True,0.5,3,20230904:151731.459157,20230904:151733.094470
22,whites,False,0.49,3,20230904:151733.095732,20230904:151736.571556
23,bullseye_low_separate,False,0.51,3,20230904:151736.572994,20230904:151739.731130
24,sbc_separate,True,0.5,3,20230904:151739.732274,20230904:151747.243080
25,sbc,False,0.51,3,20230904:151747.243906,20230904:151748.393838
26,checkerboard_separate,False,0.5,4,20230904:151748.395278,20230904:151750.803116
27,sbc_separate,False,0.5,3,20230904:151750.804234,20230904:151751.834108
