trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_5,False,nan,5,20230810:121158.759077,20230810:121202.399537
1,bullseye_low_separate,True,0.51,3,20230810:121202.400867,20230810:121207.356500
2,catch_trial_white_3,False,nan,3,20230810:121207.357587,20230810:121212.039237
3,checkerboard_separate,True,0.5,3,20230810:121212.040057,20230810:121224.865862
4,catch_trial_white_5,False,nan,5,20230810:121224.866947,20230810:121231.017650
5,checkerboard_separate,False,0.5,4,20230810:121231.032216,20230810:121326.874901
6,catch_trial_black_1,False,nan,1,20230810:121326.875999,20230810:121332.938177
7,strip,True,0.51,3,20230810:121333.068793,20230810:121341.541895
8,catch_trial_black_4,False,nan,5,20230810:121341.542986,20230810:121345.194986
9,bullseye_high_freq,True,0.49,3,20230810:121345.196123,20230810:121359.839881
10,catch_trial_white_1,False,nan,1,20230810:121359.840993,20230810:121401.703838
11,strip,False,0.51,3,20230810:121401.704964,20230810:121405.827982
12,catch_trial_white_4,False,nan,5,20230810:121405.886280,20230810:121412.099800
13,bullseye_low_separate,False,0.51,3,20230810:121412.100906,20230810:121517.926291
14,catch_trial_black_3,False,nan,3,20230810:121517.927386,20230810:121524.797997
15,sbc_separate,True,0.5,3,20230810:121524.799086,20230810:121527.375409
16,catch_trial_white_2,False,nan,1,20230810:121527.376520,20230810:121532.548661
17,whites_separate,True,0.5,5,20230810:121532.549763,20230810:121544.103341
18,catch_trial_black_2,False,nan,1,20230810:121544.104465,20230810:121548.161372
19,sbc_separate,False,0.5,3,20230810:121548.162450,20230810:121555.000332
20,checkerboard,False,0.49,5,20230810:121555.001421,20230810:121559.731390
21,whites_separate,False,0.5,1,20230810:121559.732594,20230810:121604.173869
22,sbc,True,0.51,3,20230810:121604.174996,20230810:121607.780383
23,checkerboard,True,0.49,1,20230810:121607.781499,20230810:121612.753057
24,bullseye_high_freq,False,0.49,3,20230810:121612.754171,20230810:121622.922362
25,sbc,False,0.51,5,20230810:121622.923484,20230810:121627.938046
26,whites,True,0.49,5,20230810:121627.970837,20230810:121648.006346
27,whites,False,0.49,1,20230810:121648.007482,20230810:121655.934299
