trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_white_3,Right,0.5,False
1,whites_separate,Right,0.5,True
2,bullseye_high_freq,Left,0.49,False
3,bullseye_low_separate,Left,0.51,False
4,strip,Right,0.51,False
5,catch_trial_black_3,Right,0.5,False
6,checkerboard,Left,0.49,False
7,bullseye_high_freq,Right,0.49,False
8,whites_separate,Left,0.5,True
9,whites,Left,0.49,False
10,catch_trial_white_3,Left,0.5,False
11,bullseye_low_separate,Right,0.51,True
12,checkerboard,Right,0.49,True
13,whites,Right,0.49,False
14,sbc_separate,Right,0.5,True
15,catch_trial_black_3,Left,0.5,False
16,strip,Left,0.51,True
17,sbc,Right,0.51,False
18,sbc_separate,Left,0.5,False
19,checkerboard_separate,Right,0.5,False
20,sbc,Left,0.51,False
21,checkerboard_separate,Left,0.5,True
