trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_2,False,nan,3,20230904:194117.182186,20230904:194122.886574
1,sbc,True,0.51,3,20230904:194122.888057,20230904:194123.988229
2,catch_trial_white_3,False,nan,3,20230904:194123.989351,20230904:194124.955328
3,whites,False,0.49,3,20230904:194124.956414,20230904:194126.274851
4,catch_trial_white_2,False,nan,1,20230904:194126.275939,20230904:194131.091206
5,whites,True,0.49,3,20230904:194131.092304,20230904:194136.045413
6,catch_trial_black_3,False,nan,3,20230904:194136.046486,20230904:194136.859194
7,whites_separate,True,0.5,3,20230904:194136.910126,20230904:194138.725239
8,catch_trial_black_4,False,nan,3,20230904:194138.726392,20230904:194142.582347
9,bullseye_high_freq,True,0.49,2,20230904:194142.583440,20230904:194144.946043
10,catch_trial_white_1,False,nan,1,20230904:194144.947151,20230904:194149.353061
11,sbc,False,0.51,2,20230904:194149.354085,20230904:194159.342715
12,catch_trial_black_5,False,nan,5,20230904:194159.343830,20230904:194207.330210
13,sbc_separate,True,0.5,2,20230904:194207.331325,20230904:194215.439613
14,catch_trial_white_5,False,nan,4,20230904:194215.440731,20230904:194218.019915
15,checkerboard_separate,False,0.5,4,20230904:194218.021050,20230904:194220.691084
16,catch_trial_white_4,False,nan,5,20230904:194220.741153,20230904:194247.153092
17,bullseye_low_separate,True,0.51,2,20230904:194247.154539,20230904:194259.762681
18,catch_trial_black_1,False,nan,2,20230904:194259.763808,20230904:194306.911123
19,bullseye_low_separate,False,0.51,4,20230904:194306.912208,20230904:194316.855485
20,strip,True,0.51,1,20230904:194316.856612,20230904:194323.202964
21,bullseye_high_freq,False,0.49,5,20230904:194323.204079,20230904:194332.724908
22,strip,False,0.51,4,20230904:194332.726085,20230904:194336.676516
23,sbc_separate,False,0.5,3,20230904:194336.677812,20230904:194338.050175
24,checkerboard_separate,True,0.5,3,20230904:194338.104025,20230904:194343.107384
25,checkerboard,False,0.49,4,20230904:194343.179020,20230904:194346.252181
26,checkerboard,True,0.49,4,20230904:194346.253331,20230904:194357.657802
27,whites_separate,False,0.5,2,20230904:194357.658891,20230904:194407.054276
