trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_1,False,nan,1,20230817:195911.999476,20230817:195913.303353
1,checkerboard,True,0.51,1,20230817:195913.304709,20230817:195914.577776
2,catch_trial_white_2,False,nan,1,20230817:195914.578896,20230817:195917.091962
3,bullseye_low_separate,False,0.5,5,20230817:195917.093063,20230817:200045.262718
4,catch_trial_black_5,False,nan,5,20230817:200045.263856,20230817:200046.534927
5,bullseye_low_separate,True,0.5,1,20230817:200046.536054,20230817:200049.235113
6,catch_trial_black_2,False,nan,1,20230817:200049.236213,20230817:200050.738591
7,checkerboard,False,0.51,5,20230817:200050.793587,20230817:200052.475703
8,catch_trial_black_4,False,nan,5,20230817:200052.476817,20230817:200053.996408
9,sbc,True,0.5,1,20230817:200053.997534,20230817:200059.951593
10,catch_trial_white_4,False,nan,5,20230817:200059.952702,20230817:200103.858051
11,sbc,False,0.5,5,20230817:200103.859168,20230817:200106.053953
12,catch_trial_black_3,False,nan,1,20230817:200106.055071,20230817:200108.407911
13,bullseye_high_freq,True,0.51,1,20230817:200108.409016,20230817:200110.153360
14,catch_trial_black_1,False,nan,1,20230817:200110.154522,20230817:200111.439650
15,whites_separate,True,0.49,5,20230817:200111.475978,20230817:200117.993851
16,catch_trial_white_3,False,nan,5,20230817:200117.994982,20230817:200124.806053
17,sbc_separate,False,0.49,1,20230817:200124.807459,20230817:200130.835041
18,catch_trial_white_5,False,nan,5,20230817:200130.836163,20230817:200135.379197
19,bullseye_high_freq,False,0.51,5,20230817:200135.380327,20230817:200136.583528
20,whites,True,0.51,5,20230817:200136.641654,20230817:200138.953980
21,whites,False,0.51,1,20230817:200138.955116,20230817:200142.874346
22,sbc_separate,True,0.49,5,20230817:200142.875518,20230817:200222.985238
23,checkerboard_separate,True,0.49,1,20230817:200222.986354,20230817:200228.291256
24,whites_separate,False,0.49,1,20230817:200228.330090,20230817:200230.165088
25,strip,False,0.5,4,20230817:200230.166178,20230817:200231.957075
26,checkerboard_separate,False,0.49,5,20230817:200231.958170,20230817:200259.476675
27,strip,True,0.5,2,20230817:200259.477517,20230817:200302.462334
