trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_white_3,Right,0.5,False
1,checkerboard_separate,Right,0.49,False
2,sbc_separate,Right,0.49,False
3,strip,Left,0.5,False
4,checkerboard_separate,Left,0.49,True
5,catch_trial_black_3,Right,0.5,False
6,bullseye_high_freq,Left,0.51,True
7,bullseye_high_freq,Right,0.51,True
8,sbc_separate,Left,0.49,False
9,whites,Left,0.51,False
10,catch_trial_white_3,Left,0.5,False
11,bullseye_low_separate,Right,0.5,False
12,whites_separate,Right,0.49,False
13,strip,Right,0.5,False
14,checkerboard,Right,0.51,True
15,catch_trial_black_3,Left,0.5,False
16,checkerboard,Left,0.51,True
17,whites,Right,0.51,False
18,sbc,Right,0.5,True
19,bullseye_low_separate,Left,0.5,False
20,whites_separate,Left,0.49,False
21,sbc,Left,0.5,True
