trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Right,0.5,False
1,whites,Right,0.51,True
2,sbc,Left,0.5,False
3,whites_separate,Right,0.49,True
4,bullseye_low_separate,Left,0.5,True
5,catch_trial_white_3,Left,0.5,False
6,sbc_separate,Right,0.49,False
7,strip,Left,0.5,False
8,checkerboard_separate,Right,0.49,False
9,checkerboard,Left,0.51,False
10,catch_trial_black_3,Left,0.5,False
11,checkerboard,Right,0.51,False
12,whites_separate,Left,0.49,True
13,sbc_separate,Left,0.49,True
14,checkerboard_separate,Left,0.49,False
15,catch_trial_white_3,Right,0.5,False
16,bullseye_low_separate,Right,0.5,False
17,bullseye_high_freq,Right,0.51,True
18,strip,Right,0.5,False
19,sbc,Right,0.5,False
20,bullseye_high_freq,Left,0.51,True
21,whites,Left,0.51,False
