trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_white_left,False,,
1,sbc_separate,Right,0.49,False
2,whites_separate,Right,0.49,False
3,bullseye_low_separate,Right,0.5,False
4,sbc,Left,0.5,True
5,catch_trial_3_white_right,False,,
6,checkerboard_separate,Right,0.49,True
7,checkerboard_separate,Left,0.49,True
8,whites,Left,0.51,False
9,strip,Left,0.5,True
10,catch_trial_3_black_left,False,,
11,checkerboard,Right,0.51,True
12,sbc_separate,Left,0.49,True
13,bullseye_high_freq,Right,0.51,True
14,strip,Right,0.5,False
15,catch_trial_3_black_right,False,,
16,bullseye_low_separate,Left,0.5,True
17,whites_separate,Left,0.49,False
18,checkerboard,Left,0.51,True
19,whites,Right,0.51,False
20,sbc,Right,0.5,True
21,bullseye_high_freq,Left,0.51,True
