trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_black_left,False,,
1,sbc_separate,Right,0.51,True
2,strip,Left,0.49,False
3,sbc,Left,0.49,False
4,checkerboard_separate,Left,0.51,True
5,catch_trial_3_black_right,False,,
6,checkerboard_separate,Right,0.51,True
7,whites_separate,Left,0.51,True
8,bullseye_high_freq,Right,0.5,True
9,whites,Right,0.5,False
10,catch_trial_3_white_right,False,,
11,whites_separate,Right,0.51,False
12,whites,Left,0.5,True
13,strip,Right,0.49,True
14,sbc,Right,0.49,False
15,catch_trial_3_white_left,False,,
16,checkerboard,Right,0.5,False
17,bullseye_low_separate,Right,0.49,False
18,bullseye_low_separate,Left,0.49,False
19,sbc_separate,Left,0.51,True
20,bullseye_high_freq,Left,0.5,True
21,checkerboard,Left,0.5,False
