trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_white_1,False,nan,5,20230817:192302.642260,20230817:192309.452761
1,bullseye_high_freq,False,0.5,3,20230817:192309.454058,20230817:192311.673459
2,catch_trial_black_2,False,nan,4,20230817:192311.674582,20230817:192314.383160
3,checkerboard_separate,False,0.51,2,20230817:192314.384280,20230817:192319.299140
4,catch_trial_white_2,False,nan,4,20230817:192319.300279,20230817:192321.707149
5,whites_separate,True,0.51,2,20230817:192321.708298,20230817:192323.325251
6,catch_trial_black_4,False,nan,3,20230817:192323.374110,20230817:192325.580574
7,sbc,False,0.49,3,20230817:192325.581711,20230817:192327.260156
8,catch_trial_white_4,False,nan,2,20230817:192327.261403,20230817:192328.793273
9,whites_separate,False,0.51,4,20230817:192328.794410,20230817:192330.758206
10,catch_trial_black_5,False,nan,2,20230817:192330.759508,20230817:192332.241481
11,strip,True,0.49,4,20230817:192332.242595,20230817:192335.005661
12,catch_trial_black_3,False,nan,3,20230817:192335.007087,20230817:192336.475680
13,sbc,True,0.49,3,20230817:192336.476787,20230817:192338.546210
14,catch_trial_white_5,False,nan,1,20230817:192338.547328,20230817:192340.409740
15,sbc_separate,True,0.51,3,20230817:192340.473048,20230817:192341.775466
16,catch_trial_black_1,False,nan,4,20230817:192341.776496,20230817:192343.956809
17,checkerboard,True,0.5,4,20230817:192343.958002,20230817:192348.166610
18,catch_trial_white_3,False,nan,2,20230817:192348.167749,20230817:192349.494135
19,sbc_separate,False,0.51,3,20230817:192349.494971,20230817:192351.027402
20,checkerboard,False,0.5,1,20230817:192351.028541,20230817:192353.961246
21,bullseye_high_freq,True,0.5,4,20230817:192354.022527,20230817:192355.802446
22,bullseye_low_separate,True,0.49,3,20230817:192355.803587,20230817:192358.370386
23,checkerboard_separate,True,0.51,4,20230817:192358.371547,20230817:192401.062560
24,whites,False,0.5,4,20230817:192401.063698,20230817:192405.982323
25,strip,False,0.49,2,20230817:192405.983446,20230817:192408.689498
26,bullseye_low_separate,False,0.49,2,20230817:192408.690634,20230817:192412.770011
27,whites,True,0.5,2,20230817:192412.771195,20230817:192414.671804
