trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_4,False,nan,1,20230904:153253.638483,20230904:153258.724269
1,bullseye_high_freq,True,0.51,5,20230904:153258.725756,20230904:153306.731764
2,catch_trial_black_3,False,nan,3,20230904:153306.732920,20230904:153309.663411
3,strip,False,0.5,5,20230904:153309.664510,20230904:153314.913169
4,catch_trial_white_1,False,nan,5,20230904:153314.914249,20230904:153316.807251
5,whites_separate,False,0.49,1,20230904:153316.808344,20230904:153327.447659
6,catch_trial_white_3,False,nan,3,20230904:153327.448805,20230904:153330.372112
7,sbc,False,0.5,2,20230904:153330.373264,20230904:153335.147009
8,catch_trial_white_4,False,nan,5,20230904:153335.148126,20230904:153337.142781
9,whites,True,0.51,1,20230904:153337.143879,20230904:153340.487142
10,catch_trial_black_2,False,nan,3,20230904:153340.519075,20230904:153344.487504
11,sbc_separate,True,0.49,1,20230904:153344.488597,20230904:153349.673473
12,catch_trial_black_5,False,nan,1,20230904:153349.674749,20230904:153352.713267
13,sbc,True,0.5,5,20230904:153352.714372,20230904:153359.518837
14,catch_trial_black_1,False,nan,1,20230904:153359.520133,20230904:153404.203033
15,checkerboard_separate,False,0.49,5,20230904:153404.204176,20230904:153410.638689
16,catch_trial_white_5,False,nan,5,20230904:153410.639748,20230904:153413.570104
17,sbc_separate,False,0.49,5,20230904:153413.571696,20230904:153418.025782
18,catch_trial_white_2,False,nan,4,20230904:153418.026902,20230904:153420.780201
19,bullseye_low_separate,True,0.5,2,20230904:153420.781327,20230904:153424.425375
20,checkerboard,False,0.51,5,20230904:153424.426794,20230904:153427.568627
21,bullseye_low_separate,False,0.5,3,20230904:153427.569759,20230904:153430.125079
22,checkerboard,True,0.51,4,20230904:153430.158268,20230904:153433.035705
23,checkerboard_separate,True,0.49,2,20230904:153433.037079,20230904:153435.392520
24,bullseye_high_freq,False,0.51,1,20230904:153435.424641,20230904:153437.132852
25,whites_separate,True,0.49,5,20230904:153437.133963,20230904:153440.749424
26,strip,True,0.5,5,20230904:153440.799410,20230904:153445.122340
27,whites,False,0.51,5,20230904:153445.123629,20230904:153451.375773
