trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_white_left,False,,
1,sbc,Right,0.51,True
2,sbc_separate,Left,0.5,True
3,checkerboard_separate,Right,0.5,True
4,whites_separate,Left,0.5,True
5,catch_trial_3_black_left,False,,
6,bullseye_low_separate,Right,0.51,True
7,checkerboard,Left,0.49,True
8,checkerboard,Right,0.49,True
9,bullseye_high_freq,Left,0.49,True
10,catch_trial_3_black_right,False,,
11,strip,Left,0.51,False
12,bullseye_high_freq,Right,0.49,True
13,whites_separate,Right,0.5,True
14,bullseye_low_separate,Left,0.51,False
15,catch_trial_3_white_right,False,,
16,sbc,Left,0.51,True
17,whites,Left,0.49,True
18,checkerboard_separate,Left,0.5,False
19,sbc_separate,Right,0.5,True
20,whites,Right,0.49,False
21,strip,Right,0.51,True
