trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_black_left,False,,
1,whites,Left,0.51,False
2,bullseye_high_freq,Right,0.51,True
3,strip,Right,0.5,False
4,sbc_separate,Right,0.49,False
5,catch_trial_3_black_right,False,,
6,bullseye_low_separate,Right,0.5,False
7,bullseye_low_separate,Left,0.5,False
8,strip,Left,0.5,True
9,checkerboard,Left,0.51,False
10,catch_trial_3_white_left,False,,
11,sbc,Right,0.5,False
12,sbc_separate,Left,0.49,True
13,bullseye_high_freq,Left,0.51,False
14,whites,Right,0.51,True
15,catch_trial_3_white_right,False,,
16,sbc,Left,0.5,False
17,whites_separate,Right,0.49,False
18,checkerboard_separate,Left,0.49,True
19,whites_separate,Left,0.49,False
20,checkerboard_separate,Right,0.49,False
21,checkerboard,Right,0.51,True
