trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_1,False,
1,bullseye_high_freq,False,0.5
2,catch_trial_black_2,False,
3,checkerboard_separate,False,0.51
4,catch_trial_white_2,False,
5,whites_separate,True,0.51
6,catch_trial_black_4,False,
7,sbc,False,0.49
8,catch_trial_white_4,False,
9,whites_separate,False,0.51
10,catch_trial_black_5,False,
11,strip,True,0.49
12,catch_trial_black_3,False,
13,sbc,True,0.49
14,catch_trial_white_5,False,
15,sbc_separate,True,0.51
16,catch_trial_black_1,False,
17,checkerboard,True,0.5
18,catch_trial_white_3,False,
19,sbc_separate,False,0.51
20,checkerboard,False,0.5
21,bullseye_high_freq,True,0.5
22,bullseye_low_separate,True,0.49
23,checkerboard_separate,True,0.51
24,whites,False,0.5
25,strip,False,0.49
26,bullseye_low_separate,False,0.49
27,whites,True,0.5
