trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_5,False,nan,5,20230811:163153.004220,20230811:163158.323034
1,whites_separate,False,0.49,2,20230811:163158.324381,20230811:163207.759405
2,catch_trial_white_1,False,nan,1,20230811:163207.760546,20230811:163212.691377
3,strip,True,0.5,4,20230811:163212.692496,20230811:163254.498593
4,catch_trial_black_2,False,nan,2,20230811:163254.499730,20230811:163302.886079
5,bullseye_high_freq,True,0.51,2,20230811:163302.887203,20230811:163311.842205
6,catch_trial_white_4,False,nan,5,20230811:163311.843332,20230811:163316.890380
7,checkerboard_separate,False,0.49,4,20230811:163316.924035,20230811:163320.653068
8,catch_trial_white_3,False,nan,3,20230811:163320.654198,20230811:163324.518108
9,checkerboard_separate,True,0.49,3,20230811:163324.519447,20230811:163328.059054
10,catch_trial_black_4,False,nan,4,20230811:163328.063042,20230811:163336.751562
11,sbc,False,0.5,5,20230811:163336.752913,20230811:163344.246624
12,catch_trial_black_3,False,nan,3,20230811:163344.247740,20230811:163348.524821
13,bullseye_low_separate,False,0.5,4,20230811:163348.525926,20230811:163352.090473
14,catch_trial_white_2,False,nan,1,20230811:163352.091595,20230811:163356.557640
15,sbc,True,0.5,2,20230811:163356.558779,20230811:163359.892194
16,catch_trial_white_5,False,nan,5,20230811:163359.893320,20230811:163402.861821
17,checkerboard,False,0.51,5,20230811:163402.862938,20230811:163406.963563
18,catch_trial_black_1,False,nan,1,20230811:163406.964721,20230811:163410.841242
19,sbc_separate,True,0.49,5,20230811:163410.842394,20230811:163418.746788
20,bullseye_low_separate,True,0.5,4,20230811:163418.747946,20230811:163432.082133
21,whites,False,0.51,4,20230811:163432.083294,20230811:163439.913098
22,checkerboard,True,0.51,1,20230811:163439.914288,20230811:163445.810420
23,strip,False,0.5,2,20230811:163445.811283,20230811:163450.169687
24,bullseye_high_freq,False,0.51,3,20230811:163450.170973,20230811:163452.958380
25,sbc_separate,False,0.49,2,20230811:163452.959499,20230811:163456.796079
26,whites,True,0.51,3,20230811:163456.797224,20230811:163459.835298
27,whites_separate,True,0.49,4,20230811:163459.836461,20230811:163505.076054
