trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_5_black_both,False,nan,5,20230808:151407.129298,20230808:151409.677467
1,bullseye_high_freq,False,0.51,1,20230808:151409.678782,20230808:151413.685323
2,catch_trial_1_black_both,False,nan,1,20230808:151413.686425,20230808:151416.483046
3,strip,False,0.5,1,20230808:151416.484172,20230808:151419.252515
4,catch_trial_5_white_both,False,nan,5,20230808:151419.253925,20230808:151421.773786
5,bullseye_low_separate,True,0.5,5,20230808:151421.828321,20230808:151425.305140
6,catch_trial_4_white_both,False,nan,4,20230808:151425.306265,20230808:151438.088587
7,sbc,False,0.5,5,20230808:151438.089719,20230808:151441.469577
8,catch_trial_2_black_both,False,nan,2,20230808:151441.470740,20230808:151449.896380
9,bullseye_low_separate,False,0.5,1,20230808:151449.897542,20230808:151454.495179
10,catch_trial_1_white_both,False,nan,1,20230808:151454.496313,20230808:151457.187064
11,bullseye_high_freq,True,0.51,5,20230808:151457.188214,20230808:151502.125733
12,catch_trial_3_black_both,False,nan,3,20230808:151502.126847,20230808:151504.450767
13,checkerboard_separate,False,0.49,1,20230808:151504.451914,20230808:151509.297950
14,catch_trial_4_black_both,False,nan,5,20230808:151509.299272,20230808:151515.225442
15,whites_separate,True,0.49,5,20230808:151515.226769,20230808:151517.848504
16,catch_trial_2_white_both,False,nan,1,20230808:151517.849632,20230808:151523.509189
17,sbc_separate,True,0.49,5,20230808:151523.510447,20230808:151528.282829
18,catch_trial_3_white_both,False,nan,3,20230808:151528.283953,20230808:151531.157805
19,checkerboard,False,0.51,1,20230808:151531.158906,20230808:151537.755324
20,whites,True,0.51,5,20230808:151537.756478,20230808:151541.605284
21,whites_separate,False,0.49,1,20230808:151541.606406,20230808:151544.678828
22,sbc,True,0.5,1,20230808:151544.679987,20230808:151548.134109
23,strip,True,0.5,4,20230808:151548.135498,20230808:151555.903034
24,whites,False,0.51,1,20230808:151555.904194,20230808:151558.772209
25,checkerboard_separate,True,0.49,5,20230808:151558.773418,20230808:151607.101865
26,sbc_separate,False,0.49,1,20230808:151607.103287,20230808:151610.739003
27,checkerboard,True,0.51,2,20230808:151610.740155,20230808:151616.787568
