trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_3_white_right,False,,
1,bullseye_low_separate,Right,0.49,True
2,sbc_separate,Right,0.51,False
3,whites_separate,Right,0.51,True
4,checkerboard,Left,0.5,False
5,catch_trial_3_black_right,False,,
6,checkerboard,Right,0.5,False
7,sbc,Right,0.49,True
8,whites_separate,Left,0.51,True
9,sbc_separate,Left,0.51,False
10,catch_trial_3_white_left,False,,
11,strip,Right,0.49,False
12,bullseye_high_freq,Right,0.5,False
13,bullseye_high_freq,Left,0.5,False
14,strip,Left,0.49,True
15,catch_trial_3_black_left,False,,
16,checkerboard_separate,Right,0.51,True
17,sbc,Left,0.49,True
18,bullseye_low_separate,Left,0.49,False
19,whites,Right,0.5,False
20,whites,Left,0.5,True
21,checkerboard_separate,Left,0.51,True
