trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time
0,catch_trial_black_2,False,nan,2,20230811:150335.092943,20230811:150344.364244
1,checkerboard_separate,False,0.5,5,20230811:150344.365538,20230811:150348.015343
2,catch_trial_black_1,False,nan,1,20230811:150348.016508,20230811:150349.826483
3,checkerboard,False,0.49,5,20230811:150349.887077,20230811:150352.826460
4,catch_trial_white_5,False,nan,5,20230811:150352.827801,20230811:150355.284210
5,checkerboard,True,0.49,1,20230811:150355.370096,20230811:150358.281482
6,catch_trial_white_2,False,nan,1,20230811:150358.282572,20230811:150401.914874
7,sbc_separate,True,0.5,1,20230811:150401.915995,20230811:150408.271765
8,catch_trial_black_3,False,nan,3,20230811:150408.272931,20230811:150422.274547
9,sbc,True,0.51,2,20230811:150422.275682,20230811:150424.603541
10,catch_trial_white_4,False,nan,4,20230811:150424.604804,20230811:150426.271281
11,whites_separate,True,0.5,4,20230811:150426.272404,20230811:150434.223405
12,catch_trial_black_4,False,nan,5,20230811:150434.224560,20230811:150436.242216
13,strip,False,0.51,4,20230811:150436.243332,20230811:150446.669641
14,catch_trial_black_5,False,nan,5,20230811:150446.670773,20230811:150448.399328
15,bullseye_low_separate,True,0.51,2,20230811:150448.400452,20230811:150450.979285
16,catch_trial_white_1,False,nan,1,20230811:150450.980610,20230811:150452.872232
17,whites_separate,False,0.5,1,20230811:150452.873356,20230811:150455.963774
18,catch_trial_white_3,False,nan,3,20230811:150455.964951,20230811:150457.457910
19,sbc,False,0.51,3,20230811:150457.459023,20230811:150459.397654
20,bullseye_high_freq,True,0.49,1,20230811:150459.398678,20230811:150501.297689
21,strip,True,0.51,1,20230811:150501.298814,20230811:150503.186759
22,bullseye_low_separate,False,0.51,5,20230811:150503.187909,20230811:150512.735949
23,bullseye_high_freq,False,0.49,3,20230811:150512.737120,20230811:150518.071377
24,whites,True,0.49,3,20230811:150518.208582,20230811:150522.685509
25,sbc_separate,False,0.5,1,20230811:150522.686623,20230811:150526.772902
26,checkerboard_separate,True,0.5,1,20230811:150526.774041,20230811:150529.749475
27,whites,False,0.49,1,20230811:150529.750625,20230811:150536.734832
