trial,stim,target_side,matching_flipped,presented_intensity,intensity_match,intensity_difference,start_time,stop_time,duration,time_of_day
AK_20230810_a-matching-1.results_9,checkerboard_separate,Right,True,0.49,0.416,-0.074,11:53,11:53,11,Late Morning
AK_20230810_a-matching-1.results_10,catch_trial_white_3,Left,False,0.5,0.449,-0.05,11:53,11:53,15,Late Morning
AK_20230810_a-matching-1.results_11,sbc_separate,Left,False,0.49,0.488,-0.002,11:53,11:53,14,Late Morning
AK_20230810_a-matching-1.results_12,sbc,Left,False,0.5,0.549,0.05,11:53,11:54,8,Late Morning
AK_20230810_a-matching-1.results_13,checkerboard,Right,True,0.51,0.492,-0.018,11:54,11:54,12,Late Morning
AK_20230810_a-matching-1.results_14,bullseye_high_freq,Left,False,0.51,0.451,-0.059,11:54,11:54,9,Late Morning
AK_20230810_a-matching-1.results_15,catch_trial_black_3,Right,False,0.5,0.546,0.047,11:54,11:54,18,Late Morning
AK_20230810_a-matching-1.results_16,checkerboard_separate,Left,True,0.49,0.431,-0.059,11:54,11:55,15,Late Morning
AK_20230810_a-matching-1.results_17,whites_separate,Left,False,0.49,0.464,-0.025,11:55,11:55,13,Late Morning
AK_20230810_a-matching-1.results_18,sbc,Right,True,0.5,0.447,-0.052,11:55,11:55,16,Late Morning
AK_20230810_a-matching-1.results_19,bullseye_low_separate,Right,False,0.5,0.458,-0.041,11:55,11:55,6,Late Morning
AK_20230810_a-matching-1.results_20,strip,Left,False,0.5,0.465,-0.034,11:55,11:55,17,Late Morning
AK_20230810_a-matching-1.results_21,sbc_separate,Right,True,0.49,0.441,-0.048,11:55,11:56,24,Late Morning
AA_20230904_a-matching-0.results_0,catch_trial_black_3,Left,False,0.5,0.0,-0.5,17:51,17:51,7,Afternoon
AA_20230904_a-matching-0.results_1,sbc_separate,Right,True,0.51,1.0,0.49,17:51,17:51,9,Afternoon
AA_20230904_a-matching-0.results_2,checkerboard_separate,Left,False,0.51,1.0,0.49,17:51,17:51,11,Afternoon
AA_20230904_a-matching-0.results_3,checkerboard_separate,Right,True,0.51,0.0,-0.51,17:51,17:51,7,Afternoon
AA_20230904_a-matching-0.results_4,sbc,Left,False,0.49,0.0,-0.49,17:51,17:51,9,Afternoon
AA_20230904_a-matching-0.results_5,catch_trial_white_3,Left,False,0.5,1.0,0.5,17:51,17:51,4,Afternoon
AA_20230904_a-matching-0.results_6,checkerboard,Left,False,0.5,1.0,0.5,17:51,17:52,8,Afternoon
AA_20230904_a-matching-0.results_7,checkerboard,Right,False,0.5,0.0,-0.5,17:52,17:52,5,Afternoon
AA_20230904_a-matching-0.results_8,whites,Right,False,0.5,1.0,0.5,17:52,17:52,7,Afternoon
AA_20230904_a-matching-0.results_9,sbc_separate,Left,True,0.51,1.0,0.49,17:52,17:52,11,Afternoon
AA_20230904_a-matching-0.results_10,catch_trial_black_3,Right,False,0.5,0.0,-0.5,17:52,17:52,5,Afternoon
AA_20230904_a-matching-0.results_11,bullseye_high_freq,Right,False,0.5,0.0,-0.5,17:52,17:52,7,Afternoon
AA_20230904_a-matching-0.results_12,bullseye_low_separate,Right,False,0.49,0.0,-0.49,17:52,17:52,5,Afternoon
AA_20230904_a-matching-0.results_13,strip,Left,False,0.49,0.908,0.419,17:52,17:52,3,Afternoon
AA_20230904_a-matching-0.results_14,bullseye_low_separate,Left,False,0.49,1.0,0.51,17:52,17:52,7,Afternoon
AA_20230904_a-matching-0.results_15,catch_trial_white_3,Right,False,0.5,1.0,0.5,17:52,17:53,5,Afternoon
AA_20230904_a-matching-0.results_16,sbc,Right,False,0.49,1.0,0.51,17:53,17:53,5,Afternoon
AA_20230904_a-matching-0.results_17,whites_separate,Left,True,0.51,0.0,-0.51,17:53,17:53,6,Afternoon
AA_20230904_a-matching-0.results_18,strip,Right,True,0.49,0.0,-0.49,17:53,17:53,5,Afternoon
AA_20230904_a-matching-0.results_19,whites_separate,Right,False,0.51,1.0,0.49,17:53,17:53,5,Afternoon
AA_20230904_a-matching-0.results_20,whites,Left,True,0.5,0.0,-0.5,17:53,17:53,7,Afternoon
AA_20230904_a-matching-0.results_21,bullseye_high_freq,Left,False,0.5,1.0,0.5,17:53,17:53,7,Afternoon
AA_20230904_a-matching-1.results_0,catch_trial_black_3,Right,False,0.5,0.0,-0.5,17:53,17:53,5,Afternoon
AA_20230904_a-matching-1.results_1,sbc_separate,Right,False,0.49,1.0,0.51,17:53,17:54,10,Afternoon
