stim,adjust_diff
bullseye_high_freq,-5.36875
bullseye_low_separate,-8.6609375
catch_trial_black_3,0.4796875000000034
catch_trial_white_3,-0.6140625000000011
checkerboard,-1.9921874999999978
checkerboard_separate,-5.334375000000002
sbc,-7.881249999999995
sbc_separate,-6.103124999999999
strip,-2.2906250000000017
whites,0.3890624999999981
whites_separate,2.667187500000001
