trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time,duration,time_of_day
AA_20230904_b-direction-0.results_23,sbc,False,0.49,2,18:00,18:00,4,Evening
AA_20230904_b-direction-0.results_24,checkerboard,False,0.5,0,18:00,18:00,6,Evening
AA_20230904_b-direction-0.results_25,checkerboard,True,0.5,0,18:00,18:00,1,Evening
AA_20230904_b-direction-0.results_26,checkerboard_separate,False,0.51,0,18:00,18:00,2,Evening
AA_20230904_b-direction-0.results_27,whites_separate,False,0.51,0,18:00,18:01,3,Evening
AA_20230904_b-direction-2.results_1,whites_separate,False,0.5,-1,18:02,18:02,3,Evening
AA_20230904_b-direction-2.results_3,bullseye_high_freq,False,0.49,-2,18:02,18:02,3,Evening
AA_20230904_b-direction-2.results_5,sbc,False,0.51,2,18:02,18:02,1,Evening
AA_20230904_b-direction-2.results_7,checkerboard_separate,False,0.5,-1,18:02,18:02,4,Evening
AA_20230904_b-direction-2.results_9,bullseye_high_freq,True,0.49,-2,18:02,18:02,4,Evening
AA_20230904_b-direction-2.results_11,sbc,True,0.51,2,18:02,18:02,1,Evening
AA_20230904_b-direction-2.results_13,strip,True,0.51,-2,18:02,18:03,8,Evening
AA_20230904_b-direction-2.results_15,sbc_separate,True,0.5,2,18:03,18:03,1,Evening
AA_20230904_b-direction-2.results_17,bullseye_low_separate,True,0.51,-2,18:03,18:03,2,Evening
AA_20230904_b-direction-2.results_19,bullseye_low_separate,False,0.51,-2,18:03,18:03,4,Evening
AA_20230904_b-direction-2.results_20,whites_separate,True,0.5,-1,18:03,18:03,1,Evening
AA_20230904_b-direction-2.results_21,sbc_separate,False,0.5,2,18:03,18:03,4,Evening
AA_20230904_b-direction-2.results_22,whites,False,0.49,2,18:03,18:03,2,Evening
AA_20230904_b-direction-2.results_23,whites,True,0.49,2,18:03,18:03,2,Evening
AA_20230904_b-direction-2.results_24,checkerboard_separate,True,0.5,0,18:03,18:03,3,Evening
AA_20230904_b-direction-2.results_25,checkerboard,False,0.49,-2,18:03,18:03,4,Evening
AA_20230904_b-direction-2.results_26,strip,False,0.51,-2,18:03,18:03,4,Evening
AA_20230904_b-direction-2.results_27,checkerboard,True,0.49,-1,18:03,18:03,3,Evening
AA_20230904_b-direction-1.results_1,whites,True,0.51,-1,18:01,18:01,3,Evening
AA_20230904_b-direction-1.results_3,bullseye_high_freq,False,0.51,-1,18:01,18:01,4,Evening
AA_20230904_b-direction-1.results_5,whites_separate,False,0.49,-1,18:01,18:01,2,Evening
AA_20230904_b-direction-1.results_7,bullseye_low_separate,False,0.5,-1,18:01,18:01,2,Evening
AA_20230904_b-direction-1.results_9,sbc_separate,False,0.49,2,18:01,18:01,2,Evening
AA_20230904_b-direction-1.results_11,strip,True,0.5,0,18:01,18:01,13,Evening
AA_20230904_b-direction-1.results_13,bullseye_high_freq,True,0.51,-1,18:01,18:01,3,Evening
AA_20230904_b-direction-1.results_15,sbc,True,0.5,2,18:01,18:01,2,Evening
AA_20230904_b-direction-1.results_17,sbc_separate,True,0.49,2,18:01,18:01,2,Evening
AA_20230904_b-direction-1.results_19,checkerboard_separate,False,0.49,0,18:01,18:01,4,Evening
AA_20230904_b-direction-1.results_20,whites,False,0.51,0,18:01,18:02,8,Evening
AA_20230904_b-direction-1.results_21,checkerboard,True,0.51,1,18:02,18:02,8,Evening
AA_20230904_b-direction-1.results_22,strip,False,0.5,-2,18:02,18:02,4,Evening
AA_20230904_b-direction-1.results_23,checkerboard,False,0.51,-1,18:02,18:02,8,Evening
AA_20230904_b-direction-1.results_24,bullseye_low_separate,True,0.5,-2,18:02,18:02,2,Evening
AA_20230904_b-direction-1.results_25,whites_separate,True,0.49,-2,18:02,18:02,1,Evening
AA_20230904_b-direction-1.results_26,checkerboard_separate,True,0.49,-1,18:02,18:02,5,Evening
AA_20230904_b-direction-1.results_27,sbc,False,0.5,2,18:02,18:02,1,Evening
JL_20230810_b-direction-1.results_1,bullseye_high_freq,True,0.51,-1,12:42,12:42,10,Noon
JL_20230810_b-direction-1.results_3,bullseye_high_freq,False,0.51,1,12:42,12:42,6,Noon
JL_20230810_b-direction-1.results_5,whites_separate,True,0.49,0,12:42,12:42,7,Noon
JL_20230810_b-direction-1.results_7,strip,False,0.5,2,12:42,12:42,5,Noon
JL_20230810_b-direction-1.results_9,checkerboard_separate,False,0.49,-2,12:42,12:43,14,Noon
JL_20230810_b-direction-1.results_11,sbc,True,0.5,-1,12:43,12:43,8,Noon
JL_20230810_b-direction-1.results_13,sbc_separate,False,0.49,0,12:43,12:43,7,Noon
JL_20230810_b-direction-1.results_15,strip,True,0.5,2,12:43,12:43,5,Noon
JL_20230810_b-direction-1.results_17,bullseye_low_separate,True,0.5,1,12:43,12:43,11,Noon
JL_20230810_b-direction-1.results_19,whites_separate,False,0.49,-1,12:43,12:44,26,Noon
JL_20230810_b-direction-1.results_20,whites,False,0.51,-1,12:44,12:44,16,Noon
JL_20230810_b-direction-1.results_21,checkerboard,True,0.51,1,12:44,12:44,5,Noon
JL_20230810_b-direction-1.results_22,bullseye_low_separate,False,0.5,0,12:44,12:44,7,Noon
JL_20230810_b-direction-1.results_23,checkerboard_separate,True,0.49,-2,12:44,12:44,5,Noon
JL_20230810_b-direction-1.results_24,sbc,False,0.5,-2,12:44,12:44,8,Noon
JL_20230810_b-direction-1.results_25,sbc_separate,True,0.49,-1,12:44,12:45,9,Noon
JL_20230810_b-direction-1.results_26,whites,True,0.51,-1,12:45,12:45,21,Noon
JL_20230810_b-direction-1.results_27,checkerboard,False,0.51,-1,12:45,12:45,10,Noon
JL_20230810_b-direction-0.results_1,checkerboard,False,0.5,0,12:38,12:38,7,Noon
JL_20230810_b-direction-0.results_3,sbc,True,0.49,-2,12:38,12:38,6,Noon
JL_20230810_b-direction-0.results_5,sbc,False,0.49,-1,12:38,12:38,11,Noon
JL_20230810_b-direction-0.results_7,checkerboard_separate,True,0.51,0,12:39,12:39,5,Noon
JL_20230810_b-direction-0.results_9,checkerboard_separate,False,0.51,0,12:39,12:39,15,Noon
JL_20230810_b-direction-0.results_11,bullseye_low_separate,False,0.49,1,12:39,12:39,7,Noon
JL_20230810_b-direction-0.results_13,whites_separate,False,0.51,-1,12:39,12:40,20,Noon
JL_20230810_b-direction-0.results_15,checkerboard,True,0.5,2,12:40,12:40,6,Noon
JL_20230810_b-direction-0.results_17,whites,True,0.5,0,12:40,12:40,6,Noon
JL_20230810_b-direction-0.results_19,strip,False,0.49,1,12:40,12:40,8,Noon
JL_20230810_b-direction-0.results_20,sbc_separate,True,0.51,0,12:40,12:40,8,Noon
JL_20230810_b-direction-0.results_21,bullseye_low_separate,True,0.49,-1,12:40,12:41,12,Noon
JL_20230810_b-direction-0.results_22,strip,True,0.49,2,12:41,12:41,6,Noon
JL_20230810_b-direction-0.results_23,whites_separate,True,0.51,-1,12:41,12:41,7,Noon
